iter	MultiClass
0	1.142539813
1	0.9210106917
2	0.7820092855
3	0.6922517104
4	0.6377159901
5	0.5889160492
6	0.5370174993
7	0.5044405418
8	0.48317639
9	0.4658556911
10	0.453979847
11	0.4425658872
12	0.4371759911
13	0.430668459
14	0.4259238275
15	0.4200517255
16	0.4149327529
17	0.4096811439
18	0.4070260277
19	0.3993353242
20	0.3938848922
21	0.3899277637
22	0.3848245223
23	0.3821926944
24	0.3789818517
25	0.3750061741
26	0.3730000837
27	0.3711833939
28	0.3652678432
29	0.3639856006
30	0.3617913327
31	0.3585063054
32	0.3567713543
33	0.3547934517
34	0.3531150018
35	0.3517013482
36	0.3496597916
37	0.3466838592
38	0.3441743068
39	0.341690291
40	0.340352323
41	0.3390332162
42	0.3370421176
43	0.3355083002
44	0.3347071023
45	0.3330551879
46	0.3307390315
47	0.329160651
48	0.3273466828
49	0.3259894796
50	0.324401891
51	0.3237689557
52	0.321736382
53	0.3203585271
54	0.3184196871
55	0.3176628053
56	0.31615431
57	0.3147043003
58	0.3136738851
59	0.3106718443
60	0.3083497767
61	0.3072194008
62	0.3063063383
63	0.30577033
64	0.3047205549
65	0.3033616365
66	0.3025732501
67	0.3013294544
68	0.3004976785
69	0.29935836
70	0.2983305392
71	0.2978315985
72	0.2972049639
73	0.2962739594
74	0.2950838936
75	0.2940973014
76	0.2934477787
77	0.2926193818
78	0.2916410646
79	0.2896212227
80	0.2886513316
81	0.2873089303
82	0.2864035277
83	0.2856433157
84	0.2847471078
85	0.2838189354
86	0.2827278876
87	0.2809549436
88	0.2804815283
89	0.2794547464
90	0.2784088902
91	0.2777243398
92	0.2769156158
93	0.2757751493
94	0.2749873019
95	0.2741011236
96	0.2725401032
97	0.2721751686
98	0.2711874908
99	0.2703291642
