iter	Passed	Remaining
0	152	15054
1	162	7983
2	171	5540
3	178	4277
4	183	3481
5	187	2944
6	193	2567
7	198	2285
8	203	2058
9	208	1876
10	213	1725
11	218	1599
12	223	1493
13	228	1401
14	232	1318
15	237	1248
16	242	1184
17	247	1126
18	252	1075
19	257	1028
20	262	985
21	266	946
22	272	910
23	277	878
24	282	848
25	287	819
26	292	791
27	297	766
28	303	742
29	308	719
30	314	699
31	321	683
32	327	665
33	333	648
34	340	633
35	346	615
36	352	599
37	358	584
38	364	569
39	369	554
40	375	540
41	381	526
42	394	522
43	401	510
44	406	497
45	413	485
46	419	472
47	425	461
48	431	449
49	437	437
50	443	425
51	449	414
52	454	403
53	461	392
54	466	381
55	472	371
56	478	360
57	484	350
58	489	340
59	496	330
60	502	320
61	507	311
62	512	301
63	517	291
64	523	281
65	528	272
66	532	262
67	537	253
68	543	244
69	548	235
70	553	226
71	558	217
72	563	208
73	568	199
74	573	191
75	589	186
76	594	177
77	599	169
78	604	160
79	610	152
80	615	144
81	620	136
82	625	128
83	636	121
84	642	113
85	647	105
86	652	97
87	658	89
88	662	81
89	667	74
90	672	66
91	678	58
92	683	51
93	688	43
94	693	36
95	698	29
96	703	21
97	708	14
98	713	7
99	718	0
